LGA_CODE_2021,LGA_NAME_2021,ADD_CODE_2021,ADD_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10050,Albury,D03,Murray-Darling Basin,1,Good,Good,0
10180,Armidale Regional,D03,Murray-Darling Basin,0.0821703,Good,Good,0
10180,Armidale Regional,D08,South East Coast (NSW),0.9178297,Good,Good,0
10250,Ballina,D08,South East Coast (NSW),1,Good,Good,0
10300,Balranald,D03,Murray-Darling Basin,1,Good,Good,0
10470,Bathurst Regional,D03,Murray-Darling Basin,1,Good,Good,0
10500,Bayside (NSW),D08,South East Coast (NSW),1,Good,Good,0
10550,Bega Valley,D08,South East Coast (NSW),0.9995505,Good,Good,0
10550,Bega Valley,D09,South East Coast (Victoria),0.0004495,Good,Good,1
10600,Bellingen,D08,South East Coast (NSW),1,Good,Good,0
10650,Berrigan,D03,Murray-Darling Basin,1,Good,Good,0
10750,Blacktown,D08,South East Coast (NSW),1,Good,Good,0
10800,Bland,D03,Murray-Darling Basin,1,Good,Good,0
10850,Blayney,D03,Murray-Darling Basin,1,Good,Good,0
10900,Blue Mountains,D08,South East Coast (NSW),1,Good,Good,0
10950,Bogan,D03,Murray-Darling Basin,1,Good,Good,0
11150,Bourke,D03,Murray-Darling Basin,1,Good,Good,0
11200,Brewarrina,D03,Murray-Darling Basin,1,Good,Good,0
11250,Broken Hill,D03,Murray-Darling Basin,1,Good,Good,0
11300,Burwood,D08,South East Coast (NSW),1,Good,Good,0
11350,Byron,D08,South East Coast (NSW),1,Good,Good,0
11400,Cabonne,D03,Murray-Darling Basin,1,Good,Good,0
11450,Camden,D08,South East Coast (NSW),1,Good,Good,0
11500,Campbelltown (NSW),D08,South East Coast (NSW),1,Good,Good,0
11520,Canada Bay,D08,South East Coast (NSW),1,Good,Good,0
11570,Canterbury-Bankstown,D08,South East Coast (NSW),1,Good,Good,0
11600,Carrathool,D03,Murray-Darling Basin,1,Good,Good,0
11650,Central Coast (NSW),D08,South East Coast (NSW),1,Good,Good,0
11700,Central Darling,D02,Lake Eyre Basin,0.009829,Acceptable,Good,1
11700,Central Darling,D03,Murray-Darling Basin,0.990171,Good,Good,0
11720,Cessnock,D08,South East Coast (NSW),1,Good,Good,0
11730,Clarence Valley,D08,South East Coast (NSW),1,Good,Good,0
11750,Cobar,D03,Murray-Darling Basin,1,Good,Good,0
11800,Coffs Harbour,D08,South East Coast (NSW),1,Good,Good,0
12000,Coolamon,D03,Murray-Darling Basin,1,Good,Good,0
12150,Coonamble,D03,Murray-Darling Basin,1,Good,Good,0
12160,Cootamundra-Gundagai Regional,D03,Murray-Darling Basin,1,Good,Good,0
12350,Cowra,D03,Murray-Darling Basin,1,Good,Good,0
12380,Cumberland,D08,South East Coast (NSW),1,Good,Good,0
12390,Dubbo Regional,D03,Murray-Darling Basin,1,Good,Good,0
12700,Dungog,D08,South East Coast (NSW),1,Good,Good,0
12730,Edward River,D03,Murray-Darling Basin,1,Good,Good,0
12750,Eurobodalla,D08,South East Coast (NSW),1,Good,Good,0
12850,Fairfield,D08,South East Coast (NSW),1,Good,Good,0
12870,Federation,D03,Murray-Darling Basin,1,Good,Good,0
12900,Forbes,D03,Murray-Darling Basin,1,Good,Good,0
12930,Georges River,D08,South East Coast (NSW),1,Good,Good,0
12950,Gilgandra,D03,Murray-Darling Basin,1,Good,Good,0
13010,Glen Innes Severn,D03,Murray-Darling Basin,0.8985597,Good,Good,0
13010,Glen Innes Severn,D08,South East Coast (NSW),0.1014403,Good,Good,0
13310,Goulburn Mulwaree,D03,Murray-Darling Basin,0.0032582,Good,Good,1
13310,Goulburn Mulwaree,D08,South East Coast (NSW),0.9967418,Good,Good,0
13340,Greater Hume Shire,D03,Murray-Darling Basin,1,Good,Good,0
13450,Griffith,D03,Murray-Darling Basin,1,Good,Good,0
13550,Gunnedah,D03,Murray-Darling Basin,1,Good,Good,0
13660,Gwydir,D03,Murray-Darling Basin,1,Good,Good,0
13800,Hawkesbury,D08,South East Coast (NSW),1,Good,Good,0
13850,Hay,D03,Murray-Darling Basin,1,Good,Good,0
13910,Hilltops,D03,Murray-Darling Basin,1,Good,Good,0
14000,Hornsby,D08,South East Coast (NSW),1,Good,Good,0
14100,Hunters Hill,D08,South East Coast (NSW),1,Good,Good,0
14170,Inner West,D08,South East Coast (NSW),1,Good,Good,0
14220,Inverell,D03,Murray-Darling Basin,1,Good,Good,0
14300,Junee,D03,Murray-Darling Basin,1,Good,Good,0
14350,Kempsey,D08,South East Coast (NSW),1,Good,Good,0
14400,Kiama,D08,South East Coast (NSW),1,Good,Good,0
14500,Ku-ring-gai,D08,South East Coast (NSW),1,Good,Good,0
14550,Kyogle,D08,South East Coast (NSW),1,Good,Good,0
14600,Lachlan,D03,Murray-Darling Basin,1,Good,Good,0
14650,Lake Macquarie,D08,South East Coast (NSW),1,Good,Good,0
14700,Lane Cove,D08,South East Coast (NSW),1,Good,Good,0
14750,Leeton,D03,Murray-Darling Basin,1,Good,Good,0
14850,Lismore,D08,South East Coast (NSW),1,Good,Good,0
14870,Lithgow,D03,Murray-Darling Basin,0.1453046,Good,Good,0
14870,Lithgow,D08,South East Coast (NSW),0.8546954,Good,Good,0
14900,Liverpool,D08,South East Coast (NSW),1,Good,Good,0
14920,Liverpool Plains,D03,Murray-Darling Basin,0.9999987,Good,Good,0
14920,Liverpool Plains,D08,South East Coast (NSW),1.30E-06,Good,Good,1
14950,Lockhart,D03,Murray-Darling Basin,1,Good,Good,0
15050,Maitland,D08,South East Coast (NSW),1,Good,Good,0
15240,Mid-Coast,D08,South East Coast (NSW),1,Good,Good,0
15270,Mid-Western Regional,D03,Murray-Darling Basin,0.9727403,Good,Good,0
15270,Mid-Western Regional,D08,South East Coast (NSW),0.0272597,Good,Good,0
15300,Moree Plains,D03,Murray-Darling Basin,1,Good,Good,0
15350,Mosman,D08,South East Coast (NSW),1,Good,Good,0
15520,Murray River,D03,Murray-Darling Basin,1,Good,Good,0
15560,Murrumbidgee,D03,Murray-Darling Basin,1,Good,Good,0
15650,Muswellbrook,D08,South East Coast (NSW),1,Good,Good,0
15700,Nambucca Valley,D08,South East Coast (NSW),1,Good,Good,0
15750,Narrabri,D03,Murray-Darling Basin,1,Good,Good,0
15800,Narrandera,D03,Murray-Darling Basin,1,Good,Good,0
15850,Narromine,D03,Murray-Darling Basin,1,Good,Good,0
15900,Newcastle,D08,South East Coast (NSW),1,Good,Good,0
15950,North Sydney,D08,South East Coast (NSW),1,Good,Good,0
15990,Northern Beaches,D08,South East Coast (NSW),1,Good,Good,0
16100,Oberon,D03,Murray-Darling Basin,0.9758281,Good,Good,0
16100,Oberon,D08,South East Coast (NSW),0.0241719,Good,Good,0
16150,Orange,D03,Murray-Darling Basin,1,Good,Good,0
16200,Parkes,D03,Murray-Darling Basin,1,Good,Good,0
16260,Parramatta,D08,South East Coast (NSW),1,Good,Good,0
16350,Penrith,D08,South East Coast (NSW),1,Good,Good,0
16380,Port Macquarie-Hastings,D08,South East Coast (NSW),1,Good,Good,0
16400,Port Stephens,D08,South East Coast (NSW),1,Good,Good,0
16490,Queanbeyan-Palerang Regional,D03,Murray-Darling Basin,0.9300542,Good,Good,0
16490,Queanbeyan-Palerang Regional,D08,South East Coast (NSW),0.0699458,Good,Good,0
16550,Randwick,D08,South East Coast (NSW),1,Good,Good,0
16610,Richmond Valley,D08,South East Coast (NSW),1,Good,Good,0
16700,Ryde,D08,South East Coast (NSW),1,Good,Good,0
16900,Shellharbour,D08,South East Coast (NSW),1,Good,Good,0
16950,Shoalhaven,D08,South East Coast (NSW),1,Good,Good,0
17000,Singleton,D08,South East Coast (NSW),1,Good,Good,0
17040,Snowy Monaro Regional,D03,Murray-Darling Basin,0.490169,Good,Good,0
17040,Snowy Monaro Regional,D08,South East Coast (NSW),0.0012982,Good,Good,1
17040,Snowy Monaro Regional,D09,South East Coast (Victoria),0.5085329,Good,Good,0
17080,Snowy Valleys,D03,Murray-Darling Basin,1,Good,Good,0
17100,Strathfield,D08,South East Coast (NSW),1,Good,Good,0
17150,Sutherland Shire,D08,South East Coast (NSW),1,Good,Good,0
17200,Sydney,D08,South East Coast (NSW),1,Good,Good,0
17310,Tamworth Regional,D03,Murray-Darling Basin,0.9991575,Good,Good,0
17310,Tamworth Regional,D08,South East Coast (NSW),0.0008425,Good,Good,1
17350,Temora,D03,Murray-Darling Basin,1,Good,Good,0
17400,Tenterfield,D03,Murray-Darling Basin,0.6659714,Good,Good,0
17400,Tenterfield,D08,South East Coast (NSW),0.3340286,Good,Good,0
17420,The Hills Shire,D08,South East Coast (NSW),1,Good,Good,0
17550,Tweed,D04,North East Coast,0.0004313,Good,Good,1
17550,Tweed,D08,South East Coast (NSW),0.9995687,Good,Good,0
17620,Upper Hunter Shire,D08,South East Coast (NSW),1,Good,Good,0
17640,Upper Lachlan Shire,D03,Murray-Darling Basin,0.8323358,Good,Good,0
17640,Upper Lachlan Shire,D08,South East Coast (NSW),0.1676642,Good,Good,0
17650,Uralla,D03,Murray-Darling Basin,0.8214729,Good,Good,0
17650,Uralla,D08,South East Coast (NSW),0.1785271,Good,Good,0
17750,Wagga Wagga,D03,Murray-Darling Basin,1,Good,Good,0
17850,Walcha,D03,Murray-Darling Basin,0.170217,Good,Good,0
17850,Walcha,D08,South East Coast (NSW),0.829783,Good,Good,0
17900,Walgett,D03,Murray-Darling Basin,1,Good,Good,0
17950,Warren,D03,Murray-Darling Basin,1,Good,Good,0
18020,Warrumbungle Shire,D03,Murray-Darling Basin,1,Good,Good,0
18050,Waverley,D08,South East Coast (NSW),1,Good,Good,0
18100,Weddin,D03,Murray-Darling Basin,1,Good,Good,0
18200,Wentworth,D03,Murray-Darling Basin,1,Good,Good,0
18250,Willoughby,D08,South East Coast (NSW),1,Good,Good,0
18350,Wingecarribee,D08,South East Coast (NSW),1,Good,Good,0
18400,Wollondilly,D08,South East Coast (NSW),1,Good,Good,0
18450,Wollongong,D08,South East Coast (NSW),1,Good,Good,0
18500,Woollahra,D08,South East Coast (NSW),1,Good,Good,0
18710,Yass Valley,D03,Murray-Darling Basin,1,Good,Good,0
19399,Unincorporated NSW,D02,Lake Eyre Basin,0.4193155,Acceptable,Good,0
19399,Unincorporated NSW,D03,Murray-Darling Basin,0.1304282,Good,Good,0
19399,Unincorporated NSW,D08,South East Coast (NSW),0.4502562,Good,Good,0
19499,No usual address (NSW),D94,No usual address (Aust.),1,Good,Good,0
19799,Migratory - Offshore - Shipping (NSW),D97,Migratory - Offshore - Shipping (Aust.),1,Good,Good,0
20110,Alpine,D03,Murray-Darling Basin,0.9999947,Good,Good,0
20110,Alpine,D09,South East Coast (Victoria),5.30E-06,Good,Good,1
20260,Ararat,D03,Murray-Darling Basin,0.1257036,Good,Good,0
20260,Ararat,D09,South East Coast (Victoria),0.8742964,Good,Good,0
20570,Ballarat,D03,Murray-Darling Basin,0.0056161,Good,Good,1
20570,Ballarat,D09,South East Coast (Victoria),0.9943839,Good,Good,0
20660,Banyule,D09,South East Coast (Victoria),1,Good,Good,0
20740,Bass Coast,D09,South East Coast (Victoria),1,Good,Good,0
20830,Baw Baw,D09,South East Coast (Victoria),1,Good,Good,0
20910,Bayside (Vic.),D09,South East Coast (Victoria),1,Good,Good,0
21010,Benalla,D03,Murray-Darling Basin,1,Good,Good,0
21110,Boroondara,D09,South East Coast (Victoria),1,Good,Good,0
21180,Brimbank,D09,South East Coast (Victoria),1,Good,Good,0
21270,Buloke,D03,Murray-Darling Basin,1,Good,Good,0
21370,Campaspe,D03,Murray-Darling Basin,1,Good,Good,0
21450,Cardinia,D09,South East Coast (Victoria),1,Good,Good,0
21610,Casey,D09,South East Coast (Victoria),1,Good,Good,0
21670,Central Goldfields,D03,Murray-Darling Basin,1,Good,Good,0
21750,Colac Otway,D09,South East Coast (Victoria),1,Good,Good,0
21830,Corangamite,D09,South East Coast (Victoria),1,Good,Good,0
21890,Darebin,D09,South East Coast (Victoria),1,Good,Good,0
22110,East Gippsland,D03,Murray-Darling Basin,0.0147338,Good,Good,0
22110,East Gippsland,D09,South East Coast (Victoria),0.9852662,Good,Good,0
22170,Frankston,D09,South East Coast (Victoria),1,Good,Good,0
22250,Gannawarra,D03,Murray-Darling Basin,1,Good,Good,0
22310,Glen Eira,D09,South East Coast (Victoria),1,Good,Good,0
22410,Glenelg,D09,South East Coast (Victoria),1,Good,Good,0
22490,Golden Plains,D09,South East Coast (Victoria),1,Good,Good,0
22620,Greater Bendigo,D03,Murray-Darling Basin,1,Good,Good,0
22670,Greater Dandenong,D09,South East Coast (Victoria),1,Good,Good,0
22750,Greater Geelong,D09,South East Coast (Victoria),1,Good,Good,0
22830,Greater Shepparton,D03,Murray-Darling Basin,1,Good,Good,0
22910,Hepburn,D03,Murray-Darling Basin,0.9969933,Good,Good,0
22910,Hepburn,D09,South East Coast (Victoria),0.0030067,Good,Good,1
22980,Hindmarsh,D03,Murray-Darling Basin,1,Good,Good,0
23110,Hobsons Bay,D09,South East Coast (Victoria),1,Good,Good,0
23190,Horsham,D03,Murray-Darling Basin,0.9949546,Good,Good,0
23190,Horsham,D09,South East Coast (Victoria),0.0050454,Good,Good,1
23270,Hume,D09,South East Coast (Victoria),1,Good,Good,0
23350,Indigo,D03,Murray-Darling Basin,1,Good,Good,0
23430,Kingston (Vic.),D09,South East Coast (Victoria),1,Good,Good,0
23670,Knox,D09,South East Coast (Victoria),1,Good,Good,0
23810,Latrobe (Vic.),D09,South East Coast (Victoria),1,Good,Good,0
23940,Loddon,D03,Murray-Darling Basin,1,Good,Good,0
24130,Macedon Ranges,D03,Murray-Darling Basin,0.355559,Good,Good,0
24130,Macedon Ranges,D09,South East Coast (Victoria),0.644441,Good,Good,0
24210,Manningham,D09,South East Coast (Victoria),1,Good,Good,0
24250,Mansfield,D03,Murray-Darling Basin,0.9999961,Good,Good,0
24250,Mansfield,D09,South East Coast (Victoria),3.90E-06,Good,Good,1
24330,Maribyrnong,D09,South East Coast (Victoria),1,Good,Good,0
24410,Maroondah,D09,South East Coast (Victoria),1,Good,Good,0
24600,Melbourne,D09,South East Coast (Victoria),1,Good,Good,0
24650,Melton,D09,South East Coast (Victoria),1,Good,Good,0
24780,Mildura,D03,Murray-Darling Basin,1,Good,Good,0
24850,Mitchell,D03,Murray-Darling Basin,0.5925783,Good,Good,0
24850,Mitchell,D09,South East Coast (Victoria),0.4074217,Good,Good,0
24900,Moira,D03,Murray-Darling Basin,1,Good,Good,0
24970,Monash,D09,South East Coast (Victoria),1,Good,Good,0
25060,Moonee Valley,D09,South East Coast (Victoria),1,Good,Good,0
25150,Moorabool,D03,Murray-Darling Basin,0.0009839,Good,Good,1
25150,Moorabool,D09,South East Coast (Victoria),0.9990161,Good,Good,0
25250,Moreland,D09,South East Coast (Victoria),1,Good,Good,0
25340,Mornington Peninsula,D09,South East Coast (Victoria),1,Good,Good,0
25430,Mount Alexander,D03,Murray-Darling Basin,1,Good,Good,0
25490,Moyne,D09,South East Coast (Victoria),1,Good,Good,0
25620,Murrindindi,D03,Murray-Darling Basin,0.9637902,Good,Good,0
25620,Murrindindi,D09,South East Coast (Victoria),0.0362098,Good,Good,0
25710,Nillumbik,D09,South East Coast (Victoria),1,Good,Good,0
25810,Northern Grampians,D03,Murray-Darling Basin,0.9999975,Good,Good,0
25810,Northern Grampians,D09,South East Coast (Victoria),2.50E-06,Good,Good,1
25900,Port Phillip,D09,South East Coast (Victoria),1,Good,Good,0
25990,Pyrenees,D03,Murray-Darling Basin,0.4309624,Good,Good,0
25990,Pyrenees,D09,South East Coast (Victoria),0.5690376,Good,Good,0
26080,Queenscliffe,D09,South East Coast (Victoria),1,Good,Good,0
26170,South Gippsland,D09,South East Coast (Victoria),1,Good,Good,0
26260,Southern Grampians,D09,South East Coast (Victoria),1,Good,Good,0
26350,Stonnington,D09,South East Coast (Victoria),1,Good,Good,0
26430,Strathbogie,D03,Murray-Darling Basin,1,Good,Good,0
26490,Surf Coast,D09,South East Coast (Victoria),1,Good,Good,0
26610,Swan Hill,D03,Murray-Darling Basin,1,Good,Good,0
26670,Towong,D03,Murray-Darling Basin,1,Good,Good,0
26700,Wangaratta,D03,Murray-Darling Basin,1,Good,Good,0
26730,Warrnambool,D09,South East Coast (Victoria),1,Good,Good,0
26810,Wellington,D03,Murray-Darling Basin,2.00E-07,Good,Good,1
26810,Wellington,D09,South East Coast (Victoria),0.9999998,Good,Good,0
26890,West Wimmera,D03,Murray-Darling Basin,0.0286773,Good,Good,0
26890,West Wimmera,D09,South East Coast (Victoria),0.9713227,Good,Good,0
26980,Whitehorse,D09,South East Coast (Victoria),1,Good,Good,0
27070,Whittlesea,D09,South East Coast (Victoria),1,Good,Good,0
27170,Wodonga,D03,Murray-Darling Basin,1,Good,Good,0
27260,Wyndham,D09,South East Coast (Victoria),1,Good,Good,0
27350,Yarra,D09,South East Coast (Victoria),1,Good,Good,0
27450,Yarra Ranges,D03,Murray-Darling Basin,1.93E-05,Good,Good,1
27450,Yarra Ranges,D09,South East Coast (Victoria),0.9999807,Good,Good,0
27630,Yarriambiack,D03,Murray-Darling Basin,1,Good,Good,0
29399,Unincorporated Vic,D03,Murray-Darling Basin,0.7214371,Good,Good,0
29399,Unincorporated Vic,D09,South East Coast (Victoria),0.2785629,Good,Good,0
29499,No usual address (Vic.),D94,No usual address (Aust.),1,Good,Good,0
29799,Migratory - Offshore - Shipping (Vic.),D97,Migratory - Offshore - Shipping (Aust.),1,Good,Good,0
30250,Aurukun,D01,Carpentaria Coast,1,Acceptable,Good,0
30300,Balonne,D03,Murray-Darling Basin,1,Good,Good,0
30370,Banana,D04,North East Coast,1,Good,Good,0
30410,Barcaldine,D02,Lake Eyre Basin,0.8034176,Acceptable,Good,0
30410,Barcaldine,D04,North East Coast,0.1965824,Good,Good,0
30450,Barcoo,D02,Lake Eyre Basin,1,Acceptable,Good,0
30760,Blackall Tambo,D02,Lake Eyre Basin,0.9253458,Acceptable,Good,0
30760,Blackall Tambo,D03,Murray-Darling Basin,0.074649,Good,Good,0
30760,Blackall Tambo,D04,North East Coast,5.20E-06,Good,Good,1
30900,Boulia,D02,Lake Eyre Basin,1,Acceptable,Good,0
31000,Brisbane,D04,North East Coast,1,Good,Good,0
31750,Bulloo,D02,Lake Eyre Basin,0.887081,Acceptable,Good,0
31750,Bulloo,D03,Murray-Darling Basin,0.112919,Good,Good,0
31820,Bundaberg,D04,North East Coast,1,Good,Good,0
31900,Burdekin,D04,North East Coast,1,Good,Good,0
31950,Burke,D01,Carpentaria Coast,1,Acceptable,Good,0
32080,Cairns,D04,North East Coast,1,Good,Good,0
32250,Carpentaria,D01,Carpentaria Coast,1,Acceptable,Good,0
32260,Cassowary Coast,D04,North East Coast,1,Good,Good,0
32270,Central Highlands (Qld),D04,North East Coast,1,Good,Good,0
32310,Charters Towers,D01,Carpentaria Coast,8.00E-07,Acceptable,Good,1
32310,Charters Towers,D04,North East Coast,0.9999992,Good,Good,0
32330,Cherbourg,D04,North East Coast,1,Good,Good,0
32450,Cloncurry,D01,Carpentaria Coast,0.9287861,Acceptable,Good,0
32450,Cloncurry,D02,Lake Eyre Basin,0.0712139,Acceptable,Good,0
32500,Cook,D01,Carpentaria Coast,0.1998908,Acceptable,Good,0
32500,Cook,D04,North East Coast,0.8001092,Good,Good,0
32600,Croydon,D01,Carpentaria Coast,1,Acceptable,Good,0
32750,Diamantina,D02,Lake Eyre Basin,1,Acceptable,Good,0
32770,Doomadgee,D01,Carpentaria Coast,1,Acceptable,Good,0
32810,Douglas,D04,North East Coast,1,Good,Good,0
33100,Etheridge,D01,Carpentaria Coast,1,Acceptable,Good,0
33200,Flinders (Qld),D01,Carpentaria Coast,0.8583581,Acceptable,Good,0
33200,Flinders (Qld),D02,Lake Eyre Basin,0.1369612,Acceptable,Good,0
33200,Flinders (Qld),D04,North East Coast,0.0046807,Good,Good,1
33220,Fraser Coast,D04,North East Coast,1,Good,Good,0
33360,Gladstone,D04,North East Coast,1,Good,Good,0
33430,Gold Coast,D04,North East Coast,0.9914201,Good,Good,0
33430,Gold Coast,D08,South East Coast (NSW),0.0085799,Good,Good,1
33610,Goondiwindi,D03,Murray-Darling Basin,1,Good,Good,0
33620,Gympie,D04,North East Coast,1,Good,Good,0
33800,Hinchinbrook,D04,North East Coast,1,Good,Good,0
33830,Hope Vale,D04,North East Coast,1,Good,Good,0
33960,Ipswich,D04,North East Coast,1,Good,Good,0
33980,Isaac,D04,North East Coast,1,Good,Good,0
34420,Kowanyama,D01,Carpentaria Coast,1,Acceptable,Good,0
34530,Livingstone,D04,North East Coast,1,Good,Good,0
34570,Lockhart River,D04,North East Coast,1,Good,Good,0
34580,Lockyer Valley,D04,North East Coast,1,Good,Good,0
34590,Logan,D04,North East Coast,1,Good,Good,0
34710,Longreach,D02,Lake Eyre Basin,1,Acceptable,Good,0
34770,Mackay,D04,North East Coast,1,Good,Good,0
34800,McKinlay,D01,Carpentaria Coast,1,Acceptable,Good,0
34830,Mapoon,D01,Carpentaria Coast,1,Acceptable,Good,0
34860,Maranoa,D03,Murray-Darling Basin,0.9416766,Good,Good,0
34860,Maranoa,D04,North East Coast,0.0583234,Good,Good,0
34880,Mareeba,D01,Carpentaria Coast,0.1859068,Acceptable,Good,0
34880,Mareeba,D04,North East Coast,0.8140932,Good,Good,0
35010,Moreton Bay,D04,North East Coast,1,Good,Good,0
35250,Mornington,D01,Carpentaria Coast,1,Acceptable,Good,0
35300,Mount Isa,D01,Carpentaria Coast,0.9986627,Acceptable,Good,0
35300,Mount Isa,D02,Lake Eyre Basin,0.0013373,Acceptable,Good,1
35600,Murweh,D03,Murray-Darling Basin,1,Good,Good,0
35670,Napranum,D01,Carpentaria Coast,1,Acceptable,Good,0
35740,Noosa,D04,North East Coast,1,Good,Good,0
35760,North Burnett,D04,North East Coast,1,Good,Good,0
35780,Northern Peninsula Area,D01,Carpentaria Coast,0.9999928,Acceptable,Good,0
35780,Northern Peninsula Area,D04,North East Coast,7.20E-06,Good,Good,1
35790,Palm Island,D04,North East Coast,1,Good,Good,0
35800,Paroo,D03,Murray-Darling Basin,1,Good,Good,0
36070,Pormpuraaw,D01,Carpentaria Coast,1,Acceptable,Good,0
36150,Quilpie,D02,Lake Eyre Basin,0.9915388,Acceptable,Good,0
36150,Quilpie,D03,Murray-Darling Basin,0.0084612,Good,Good,1
36250,Redland,D04,North East Coast,1,Good,Good,0
36300,Richmond,D01,Carpentaria Coast,1,Acceptable,Good,0
