"STE_CODE16","age_group","sex","year_range","days_exercise_last_week","p"
1,"18-24","all","2017-2018","none","0.052"
1,"18-24","all","2017-2018","1–4","0.463"
1,"18-24","all","2017-2018","5–6","0.309"
1,"18-24","all","2017-2018","7","0.193"
1,"18-24","all","2017-2018","5_or_more","0.477"
2,"18-24","all","2017-2018","none","0.083"
2,"18-24","all","2017-2018","1–4","0.448"
2,"18-24","all","2017-2018","5–6","0.225"
2,"18-24","all","2017-2018","7","0.212"
2,"18-24","all","2017-2018","5_or_more","0.47"
3,"18-24","all","2017-2018","none","0.17"
3,"18-24","all","2017-2018","1–4","0.437"
3,"18-24","all","2017-2018","5–6","0.272"
3,"18-24","all","2017-2018","7","0.155"
3,"18-24","all","2017-2018","5_or_more","0.412"
4,"18-24","all","2017-2018","none","0.065"
4,"18-24","all","2017-2018","1–4","0.531"
4,"18-24","all","2017-2018","5–6","0.275"
4,"18-24","all","2017-2018","7","0.158"
4,"18-24","all","2017-2018","5_or_more","0.424"
5,"18-24","all","2017-2018","none","0.071"
5,"18-24","all","2017-2018","1–4","0.49"
5,"18-24","all","2017-2018","5–6","0.24"
5,"18-24","all","2017-2018","7","0.166"
5,"18-24","all","2017-2018","5_or_more","0.364"
6,"18-24","all","2017-2018","none","0.174"
6,"18-24","all","2017-2018","1–4","0.515"
6,"18-24","all","2017-2018","5–6","0.211"
6,"18-24","all","2017-2018","7","0.118"
6,"18-24","all","2017-2018","5_or_more","0.357"
7,"18-24","all","2017-2018","none","0.177"
7,"18-24","all","2017-2018","1–4","0.369"
7,"18-24","all","2017-2018","5–6","0.284"
7,"18-24","all","2017-2018","7","0.191"
7,"18-24","all","2017-2018","5_or_more","0.525"
8,"18-24","all","2017-2018","none","0.141"
8,"18-24","all","2017-2018","1–4","0.479"
8,"18-24","all","2017-2018","5–6","0.285"
8,"18-24","all","2017-2018","7","0.088"
8,"18-24","all","2017-2018","5_or_more","0.426"
1,"18-24","male","2017-2018","none","0.07"
1,"18-24","male","2017-2018","1–4","0.45"
1,"18-24","male","2017-2018","5–6","0.218"
1,"18-24","male","2017-2018","7","0.163"
1,"18-24","male","2017-2018","5_or_more","0.448"
2,"18-24","male","2017-2018","none","0.087"
2,"18-24","male","2017-2018","1–4","0.472"
2,"18-24","male","2017-2018","5–6","0.264"
2,"18-24","male","2017-2018","7","0.206"
2,"18-24","male","2017-2018","5_or_more","0.469"
3,"18-24","male","2017-2018","none","0.131"
3,"18-24","male","2017-2018","1–4","0.437"
3,"18-24","male","2017-2018","5–6","0.222"
3,"18-24","male","2017-2018","7","0.133"
3,"18-24","male","2017-2018","5_or_more","0.369"
4,"18-24","male","2017-2018","none","0.023"
4,"18-24","male","2017-2018","1–4","0.418"
4,"18-24","male","2017-2018","5–6","0.393"
4,"18-24","male","2017-2018","7","0.21"
4,"18-24","male","2017-2018","5_or_more","0.586"
5,"18-24","male","2017-2018","none","0.045"
5,"18-24","male","2017-2018","1–4","0.539"
5,"18-24","male","2017-2018","5–6","0.316"
5,"18-24","male","2017-2018","7","0.2"
5,"18-24","male","2017-2018","5_or_more","0.475"
6,"18-24","male","2017-2018","none","0.09"
6,"18-24","male","2017-2018","1–4","0.571"
6,"18-24","male","2017-2018","5–6","0.176"
6,"18-24","male","2017-2018","7","0.103"
6,"18-24","male","2017-2018","5_or_more","0.309"
7,"18-24","male","2017-2018","none","0.107"
7,"18-24","male","2017-2018","1–4","0.2"
7,"18-24","male","2017-2018","5–6","0.36"
7,"18-24","male","2017-2018","7","0.32"
7,"18-24","male","2017-2018","5_or_more","0.547"
8,"18-24","male","2017-2018","none","0.232"
8,"18-24","male","2017-2018","1–4","0.649"
8,"18-24","male","2017-2018","5–6","0.189"
8,"18-24","male","2017-2018","7","NULL"
8,"18-24","male","2017-2018","5_or_more","0.389"
1,"18-24","female","2017-2018","none","0.032"
1,"18-24","female","2017-2018","1–4","0.442"
1,"18-24","female","2017-2018","5–6","0.391"
1,"18-24","female","2017-2018","7","0.171"
1,"18-24","female","2017-2018","5_or_more","0.572"
2,"18-24","female","2017-2018","none","0.043"
2,"18-24","female","2017-2018","1–4","0.434"
2,"18-24","female","2017-2018","5–6","0.194"
2,"18-24","female","2017-2018","7","0.199"
2,"18-24","female","2017-2018","5_or_more","0.432"
3,"18-24","female","2017-2018","none","0.144"
3,"18-24","female","2017-2018","1–4","0.423"
3,"18-24","female","2017-2018","5–6","0.266"
3,"18-24","female","2017-2018","7","0.134"
3,"18-24","female","2017-2018","5_or_more","0.426"
4,"18-24","female","2017-2018","none","0.143"
4,"18-24","female","2017-2018","1–4","0.672"
4,"18-24","female","2017-2018","5–6","0.194"
4,"18-24","female","2017-2018","7","0.153"
4,"18-24","female","2017-2018","5_or_more","0.31"
5,"18-24","female","2017-2018","none","0.091"
5,"18-24","female","2017-2018","1–4","0.595"
5,"18-24","female","2017-2018","5–6","0.202"
5,"18-24","female","2017-2018","7","0.131"
5,"18-24","female","2017-2018","5_or_more","0.417"
6,"18-24","female","2017-2018","none","0.164"
6,"18-24","female","2017-2018","1–4","0.512"
6,"18-24","female","2017-2018","5–6","0.234"
6,"18-24","female","2017-2018","7","0.06"
6,"18-24","female","2017-2018","5_or_more","0.403"
7,"18-24","female","2017-2018","none","0.175"
7,"18-24","female","2017-2018","1–4","0.492"
7,"18-24","female","2017-2018","5–6","0.365"
7,"18-24","female","2017-2018","7","0.127"
7,"18-24","female","2017-2018","5_or_more","0.444"
8,"18-24","female","2017-2018","none","0.067"
8,"18-24","female","2017-2018","1–4","0.474"
8,"18-24","female","2017-2018","5–6","0.263"
8,"18-24","female","2017-2018","7","0.175"
8,"18-24","female","2017-2018","5_or_more","0.438"
